OBJECTID,aland10,awater10,classfp10,funcstat10,geoid10,intptlat10,intptlon10,mtfcc10,partflg10,statefp10,zcta5ce10,Town,State,LookUp_Zip,Fall17,Fall18,Fall19,Fall20,Fall21,Fall22,Shape__Area,Shape__Length,Sum1722,Shape_Length,Shape_Area
53,67502002.000000000000000,428529.000000000000000,B5,S,0906002,+41.8449305,-072.7409509,G6350,N,09,06002,Bloomfield,Connecticut,06002,26.000000000000000,33.000000000000000,34.000000000000000,30.000000000000000,31.000000000000000,31.000000000000000,122490042.812500000000000,52330.356633717899967,185,52330.356480389702483,122490042.717294484376907
54,43614027.000000000000000,235492.000000000000000,B5,S,0906026,+41.9297190,-072.7453784,G6350,N,09,06026,East Granby,Connecticut,06026,8.000000000000000,6.000000000000000,4.000000000000000,7.000000000000000,8.000000000000000,5.000000000000000,79314458.921875000000000,47089.783736838398909,38,47089.783405454400054,79314459.000463634729385
55,25324028.000000000000000,559642.000000000000000,B5,S,0906451,+41.5419056,-072.8234089,G6350,N,09,06451,Meriden,Connecticut,06451,11.000000000000000,13.000000000000000,14.000000000000000,13.000000000000000,6.000000000000000,7.000000000000000,46241739.152343802154064,37205.380545458603592,64,37205.380195110941713,46241739.309358328580856
56,18987.000000000000000,0.000000000000000,B5,S,0906020,+41.8346055,-072.9288350,G6350,N,09,06020,Canton,Connecticut,06020,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,34227.894531250000000,1270.995218746299997,0,1270.995158011962303,34227.902923333240324
57,94463646.000000000000000,2940724.000000000000000,B5,S,0906057,+41.8410406,-072.9986804,G6350,N,09,06057,New Hartford,Connecticut,06057,10.000000000000000,12.000000000000000,13.000000000000000,6.000000000000000,4.000000000000000,3.000000000000000,175644737.789063006639481,71525.058076480301679,48,71525.058405907053384,175644737.876713991165161
58,106236270.000000000000000,3487775.000000000000000,B5,S,0906457,+41.5495338,-072.6577193,G6350,N,09,06457,Middletown,Connecticut,06457,30.000000000000000,28.000000000000000,34.000000000000000,36.000000000000000,38.000000000000000,32.000000000000000,196058221.265625000000000,72681.820530847500777,198,72681.820106321494677,196058221.314545214176178
59,28103982.000000000000000,1538526.000000000000000,B5,S,0906455,+41.5141630,-072.7178435,G6350,N,09,06455,Middlefield,Connecticut,06455,3.000000000000000,3.000000000000000,3.000000000000000,3.000000000000000,4.000000000000000,4.000000000000000,52913100.507812500000000,39005.325763413398818,20,39005.325625198813214,52913100.494445152580738
60,39996592.000000000000000,639655.000000000000000,B5,S,0906232,+41.7329821,-072.3746584,G6350,N,09,06232,Andover,Connecticut,06232,27.000000000000000,20.000000000000000,22.000000000000000,25.000000000000000,20.000000000000000,30.000000000000000,73026098.121093794703484,35167.848768126597861,144,35167.848735453488189,73026098.097540333867073
61,45866666.000000000000000,970662.000000000000000,B5,S,0906066,+41.8375231,-072.4591228,G6350,N,09,06066,Vernon Rockville,Connecticut,06066,74.000000000000000,68.000000000000000,67.000000000000000,67.000000000000000,96.000000000000000,102.000000000000000,84439444.968750000000000,38780.188000104499224,474,38780.187892847752664,84439444.706578105688095
62,5284985.000000000000000,0.000000000000000,B5,S,0906119,+41.7634210,-072.7272081,G6350,N,09,06119,West Hartford,Connecticut,06119,15.000000000000000,15.000000000000000,13.000000000000000,14.000000000000000,15.000000000000000,14.000000000000000,9506376.089843750000000,14492.643672739399335,86,14492.643835125087207,9506376.115733332931995
63,65768256.000000000000000,1705949.000000000000000,B5,S,0906037,+41.6054768,-072.7784592,G6350,N,09,06037,Berlin,Connecticut,06037,27.000000000000000,37.000000000000000,33.000000000000000,25.000000000000000,27.000000000000000,21.000000000000000,120800980.613280996680260,55311.546366844100703,170,55311.545539490529336,120800980.365874588489532
64,58984447.000000000000000,1541344.000000000000000,B5,S,0906032,+41.7252225,-072.8303088,G6350,N,09,06032,Farmington,Connecticut,06032,10.000000000000000,8.000000000000000,10.000000000000000,9.000000000000000,7.000000000000000,4.000000000000000,108742669.277344003319740,58779.831786107402877,48,58779.831467984222400,108742669.065292894840240
65,103265782.000000000000000,1630210.000000000000000,B5,S,0906084,+41.8824880,-072.3590679,G6350,N,09,06084,Tolland,Connecticut,06084,76.000000000000000,74.000000000000000,73.000000000000000,63.000000000000000,67.000000000000000,51.000000000000000,189358665.234375000000000,60138.877798184003041,404,60138.877725714133703,189358665.259689092636108
66,22634325.000000000000000,181508.000000000000000,B5,S,0906062,+41.6736388,-072.8597289,G6350,N,09,06062,Plainville,Connecticut,06062,20.000000000000000,13.000000000000000,7.000000000000000,8.000000000000000,7.000000000000000,8.000000000000000,40926064.839843802154064,27059.068587450401537,63,27059.068696530015586,40926064.809028945863247
67,31883298.000000000000000,2071376.000000000000000,B5,S,0906109,+41.7024837,-072.6693014,G6350,N,09,06109,Wethersfield,Connecticut,06109,47.000000000000000,42.000000000000000,35.000000000000000,26.000000000000000,26.000000000000000,33.000000000000000,60958872.355468802154064,40875.453108142100973,209,40875.452995725143410,60958872.430843971669674
68,4196745.000000000000000,0.000000000000000,B5,S,0906022,+41.8654333,-072.9273265,G6350,N,09,06022,Canton,Connecticut,06022,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,7572805.976562500000000,12943.235646131899557,0,12943.235949119753059,7572806.011008745990694
69,43949945.000000000000000,393095.000000000000000,B5,S,0906040,+41.7614154,-072.5256080,G6350,N,09,06040,Manchester,Connecticut,06040,76.000000000000000,82.000000000000000,83.000000000000000,80.000000000000000,91.000000000000000,69.000000000000000,79757784.402343794703484,42572.604913605799084,481,42572.604570623610925,79757784.468241021037102
70,104288107.000000000000000,4935712.000000000000000,B5,S,0906424,+41.5606030,-072.5023286,G6350,N,09,06424,East Hampton,Connecticut,06424,43.000000000000000,50.000000000000000,46.000000000000000,39.000000000000000,34.000000000000000,29.000000000000000,195232021.625000000000000,89112.252966511194245,241,89112.252507479686756,195232021.605541527271271
71,2253121.000000000000000,1030501.000000000000000,B5,S,0906456,+41.5166903,-072.5537513,G6350,N,09,06456,Middle Haddam,Connecticut,06456,4.000000000000000,2.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,5865851.179687500000000,22272.061421585698554,7,22272.061128484830988,5865851.180625720880926
